match_id,team1,team2,score1,score2,winner
335982,Kolkata Knight Riders,Royal Challengers Bangalore,222.0,82.0,Kolkata Knight Riders
335983,Chennai Super Kings,Punjab Kings,240.0,207.0,Chennai Super Kings
335984,Delhi Capitals,Rajasthan Royals,132.0,129.0,Delhi Capitals
335985,Mumbai Indians,Royal Challengers Bangalore,165.0,166.0,Royal Challengers Bangalore
335986,Deccan Chargers,Kolkata Knight Riders,110.0,112.0,Kolkata Knight Riders
335987,Punjab Kings,Rajasthan Royals,166.0,168.0,Rajasthan Royals
335988,Deccan Chargers,Delhi Capitals,142.0,143.0,Delhi Capitals
335989,Chennai Super Kings,Mumbai Indians,208.0,202.0,Chennai Super Kings
335990,Deccan Chargers,Rajasthan Royals,214.0,217.0,Rajasthan Royals
335991,Mumbai Indians,Punjab Kings,116.0,182.0,Punjab Kings
335992,Rajasthan Royals,Royal Challengers Bangalore,138.0,135.0,Rajasthan Royals
335993,Chennai Super Kings,Kolkata Knight Riders,152.0,147.0,Chennai Super Kings
335994,Deccan Chargers,Mumbai Indians,155.0,154.0,Deccan Chargers
335995,Delhi Capitals,Punjab Kings,158.0,162.0,Punjab Kings
335996,Chennai Super Kings,Royal Challengers Bangalore,178.0,165.0,Chennai Super Kings
335997,Kolkata Knight Riders,Mumbai Indians,137.0,138.0,Mumbai Indians
335998,Delhi Capitals,Royal Challengers Bangalore,191.0,181.0,Delhi Capitals
335999,Deccan Chargers,Punjab Kings,164.0,167.0,Punjab Kings
336000,Kolkata Knight Riders,Rajasthan Royals,151.0,196.0,Rajasthan Royals
336001,Chennai Super Kings,Delhi Capitals,169.0,172.0,Delhi Capitals
336002,Deccan Chargers,Royal Challengers Bangalore,165.0,171.0,Royal Challengers Bangalore
336003,Kolkata Knight Riders,Punjab Kings,169.0,178.0,Punjab Kings
336004,Delhi Capitals,Mumbai Indians,133.0,162.0,Mumbai Indians
336005,Chennai Super Kings,Rajasthan Royals,109.0,110.0,Rajasthan Royals
336006,Punjab Kings,Royal Challengers Bangalore,127.0,126.0,Punjab Kings
336007,Chennai Super Kings,Deccan Chargers,144.0,148.0,Deccan Chargers
336008,Mumbai Indians,Rajasthan Royals,104.0,103.0,Mumbai Indians
336009,Chennai Super Kings,Delhi Capitals,188.0,187.0,Chennai Super Kings
336010,Kolkata Knight Riders,Royal Challengers Bangalore,129.0,124.0,Kolkata Knight Riders
336011,Deccan Chargers,Rajasthan Royals,140.0,141.0,Rajasthan Royals
336012,Mumbai Indians,Royal Challengers Bangalore,126.0,122.0,Mumbai Indians
336013,Chennai Super Kings,Punjab Kings,181.0,163.0,Chennai Super Kings
336014,Deccan Chargers,Kolkata Knight Riders,181.0,204.0,Kolkata Knight Riders
336015,Delhi Capitals,Rajasthan Royals,156.0,159.0,Rajasthan Royals
336016,Punjab Kings,Royal Challengers Bangalore,144.0,143.0,Punjab Kings
336017,Delhi Capitals,Kolkata Knight Riders,110.0,133.0,Kolkata Knight Riders
336018,Chennai Super Kings,Mumbai Indians,156.0,158.0,Mumbai Indians
336019,Punjab Kings,Rajasthan Royals,221.0,180.0,Punjab Kings
336020,Deccan Chargers,Delhi Capitals,182.0,194.0,Delhi Capitals
336021,Kolkata Knight Riders,Mumbai Indians,67.0,68.0,Mumbai Indians
336022,Delhi Capitals,Punjab Kings,118.0,94.0,Delhi Capitals
336023,Rajasthan Royals,Royal Challengers Bangalore,197.0,132.0,Rajasthan Royals
336024,Deccan Chargers,Mumbai Indians,153.0,178.0,Mumbai Indians
336025,Chennai Super Kings,Kolkata Knight Riders,55.0,149.0,Kolkata Knight Riders
336026,Delhi Capitals,Royal Challengers Bangalore,158.0,154.0,Delhi Capitals
336027,Kolkata Knight Riders,Rajasthan Royals,147.0,150.0,Rajasthan Royals
336028,Mumbai Indians,Punjab Kings,188.0,189.0,Punjab Kings
336029,Chennai Super Kings,Royal Challengers Bangalore,112.0,126.0,Royal Challengers Bangalore
336031,Deccan Chargers,Punjab Kings,175.0,178.0,Punjab Kings
336032,Delhi Capitals,Mumbai Indians,179.0,176.0,Delhi Capitals
336033,Chennai Super Kings,Rajasthan Royals,201.0,211.0,Rajasthan Royals
336034,Deccan Chargers,Royal Challengers Bangalore,153.0,156.0,Royal Challengers Bangalore
336035,Kolkata Knight Riders,Punjab Kings,175.0,174.0,Kolkata Knight Riders
336036,Mumbai Indians,Rajasthan Royals,145.0,146.0,Rajasthan Royals
336037,Chennai Super Kings,Deccan Chargers,148.0,147.0,Chennai Super Kings
336038,Delhi Capitals,Rajasthan Royals,87.0,192.0,Rajasthan Royals
336039,Chennai Super Kings,Punjab Kings,116.0,112.0,Chennai Super Kings
336040,Chennai Super Kings,Rajasthan Royals,163.0,164.0,Rajasthan Royals
392181,Chennai Super Kings,Mumbai Indians,146.0,165.0,Mumbai Indians
392182,Rajasthan Royals,Royal Challengers Bangalore,58.0,133.0,Royal Challengers Bangalore
392183,Delhi Capitals,Punjab Kings,58.0,104.0,Punjab Kings
392184,Deccan Chargers,Kolkata Knight Riders,104.0,101.0,Deccan Chargers
392185,Chennai Super Kings,Royal Challengers Bangalore,179.0,87.0,Chennai Super Kings
392186,Kolkata Knight Riders,Punjab Kings,79.0,158.0,Punjab Kings
392188,Deccan Chargers,Royal Challengers Bangalore,184.0,160.0,Deccan Chargers
392189,Chennai Super Kings,Delhi Capitals,180.0,189.0,Delhi Capitals
392190,Kolkata Knight Riders,Rajasthan Royals,165.0,168.0,Rajasthan Royals
392191,Punjab Kings,Royal Challengers Bangalore,173.0,168.0,Punjab Kings
392192,Deccan Chargers,Mumbai Indians,168.0,156.0,Deccan Chargers
392194,Delhi Capitals,Royal Challengers Bangalore,150.0,149.0,Delhi Capitals
392195,Punjab Kings,Rajasthan Royals,139.0,112.0,Punjab Kings
392196,Chennai Super Kings,Deccan Chargers,165.0,169.0,Deccan Chargers
392197,Kolkata Knight Riders,Mumbai Indians,95.0,187.0,Mumbai Indians
392198,Delhi Capitals,Rajasthan Royals,143.0,147.0,Rajasthan Royals
392199,Kolkata Knight Riders,Royal Challengers Bangalore,139.0,143.0,Royal Challengers Bangalore
392200,Mumbai Indians,Punjab Kings,116.0,119.0,Punjab Kings
392201,Deccan Chargers,Delhi Capitals,148.0,150.0,Delhi Capitals
392202,Chennai Super Kings,Rajasthan Royals,164.0,126.0,Chennai Super Kings
392203,Kolkata Knight Riders,Mumbai Indians,139.0,148.0,Mumbai Indians
392204,Punjab Kings,Royal Challengers Bangalore,137.0,145.0,Royal Challengers Bangalore
