match_id,batter,runs_total,form
548346,A Ashish Reddy,10,0.0
548352,A Ashish Reddy,3,0.0
548359,A Ashish Reddy,12,0.0
548373,A Ashish Reddy,10,0.0
548376,A Ashish Reddy,5,8.0
598000,A Ashish Reddy,7,7.4
598004,A Ashish Reddy,14,9.6
598010,A Ashish Reddy,16,10.4
598013,A Ashish Reddy,4,9.2
598018,A Ashish Reddy,19,12.0
598021,A Ashish Reddy,7,12.0
598030,A Ashish Reddy,36,16.4
598032,A Ashish Reddy,14,16.0
598044,A Ashish Reddy,6,16.4
598048,A Ashish Reddy,3,13.2
829727,A Ashish Reddy,14,14.6
829731,A Ashish Reddy,15,10.4
829759,A Ashish Reddy,22,12.0
829773,A Ashish Reddy,6,12.0
829815,A Ashish Reddy,17,14.8
980907,A Ashish Reddy,32,18.4
980915,A Ashish Reddy,14,18.2
980953,A Ashish Reddy,2,14.2
1304050,A Badoni,55,0.0
1304053,A Badoni,24,0.0
1304058,A Badoni,22,0.0
1304061,A Badoni,10,0.0
1304066,A Badoni,5,23.2
1304077,A Badoni,14,15.0
1304083,A Badoni,14,13.0
1304088,A Badoni,4,9.4
1304099,A Badoni,16,10.6
1304103,A Badoni,9,11.4
1304109,A Badoni,0,8.6
1359477,A Badoni,20,9.8
1359480,A Badoni,24,13.8
1359489,A Badoni,37,18.0
1359495,A Badoni,7,17.6
1359500,A Badoni,2,18.0
1359504,A Badoni,8,15.6
1359512,A Badoni,45,19.8
1359517,A Badoni,4,13.2
1359519,A Badoni,65,24.8
1359525,A Badoni,23,29.0
1359542,A Badoni,26,32.6
1370351,A Badoni,1,23.8
1422122,A Badoni,1,23.2
1422129,A Badoni,8,11.8
1422133,A Badoni,0,7.2
1422139,A Badoni,21,6.2
1426264,A Badoni,58,17.6
1426266,A Badoni,29,23.2
1426282,A Badoni,25,26.6
1426286,A Badoni,10,28.6
1426292,A Badoni,16,27.6
1426295,A Badoni,57,27.4
1426302,A Badoni,6,22.8
1426305,A Badoni,22,22.2
1473441,A Badoni,4,21.0
1473444,A Badoni,6,19.0
1473450,A Badoni,43,16.2
1473453,A Badoni,31,21.2
1473463,A Badoni,30,22.8
1473467,A Badoni,24,26.8
1473473,A Badoni,53,36.2
1473477,A Badoni,36,34.8
1473482,A Badoni,35,35.6
1473491,A Badoni,80,45.6
1473499,A Badoni,3,41.4
548373,A Chandila,0,0.0
598023,A Chandila,4,0.0
336010,A Chopra,2,0.0
336014,A Chopra,26,0.0
336017,A Chopra,14,0.0
336021,A Chopra,1,0.0
336035,A Chopra,2,9.0
392184,A Chopra,13,11.2
1082591,A Choudhary,6,0.0
1082621,A Choudhary,15,0.0
1082633,A Choudhary,4,0.0
1136569,A Dananjaya,4,0.0
392181,A Flintoff,32,0.0
392185,A Flintoff,23,0.0
392189,A Flintoff,17,0.0
1426298,A Kamboj,2,0.0
1473462,A Kamboj,4,0.0
1473480,A Kamboj,2,0.0
1473486,A Kamboj,0,0.0
1473494,A Kamboj,4,2.4
1473500,A Kamboj,5,3.0
336006,A Kumble,3,0.0
336016,A Kumble,4,0.0
336023,A Kumble,8,0.0
336029,A Kumble,2,0.0
392185,A Kumble,1,3.6
392188,A Kumble,1,3.2
392191,A Kumble,5,3.4
392204,A Kumble,2,2.2
392218,A Kumble,7,3.2
392239,A Kumble,1,3.2
419128,A Kumble,1,3.2
419140,A Kumble,1,2.4
419151,A Kumble,2,2.4
419157,A Kumble,2,1.4
419162,A Kumble,2,1.6
1304050,A Manohar,15,0.0
1304056,A Manohar,1,0.0
1304067,A Manohar,36,0.0
1304070,A Manohar,44,0.0
1304075,A Manohar,12,21.6
1304081,A Manohar,3,19.2
1304086,A Manohar,1,19.2
1359487,A Manohar,14,14.8
1359497,A Manohar,27,11.4
1359504,A Manohar,3,9.6
1359509,A Manohar,42,17.4
1359518,A Manohar,30,23.2
1359531,A Manohar,2,20.8
1426262,A Manohar,1,15.6
1426270,A Manohar,8,16.6
1473439,A Manohar,0,8.2
1473444,A Manohar,2,2.6
1473447,A Manohar,4,3.0
1473478,A Manohar,43,11.4
1473503,A Manohar,14,12.6
1473475,A Mhatre,34,0.0
1473480,A Mhatre,30,0.0
1473486,A Mhatre,8,0.0
1473489,A Mhatre,94,0.0
1473494,A Mhatre,0,33.2
1473500,A Mhatre,43,35.0
1473504,A Mhatre,35,36.0
336015,A Mishra,4,0.0
336017,A Mishra,31,0.0
336038,A Mishra,2,0.0
392198,A Mishra,0,0.0
392206,A Mishra,11,9.6
392223,A Mishra,2,9.2
392235,A Mishra,13,5.6
392237,A Mishra,1,5.4
419114,A Mishra,3,6.0
419116,A Mishra,7,5.2
419120,A Mishra,0,4.8
419144,A Mishra,4,3.0
419149,A Mishra,13,5.4
419152,A Mishra,13,7.4
419160,A Mishra,5,7.0
501199,A Mishra,2,7.4
501203,A Mishra,14,9.4
501212,A Mishra,0,6.8
501224,A Mishra,26,9.4
501229,A Mishra,0,8.4
501236,A Mishra,2,8.4
501239,A Mishra,10,7.6
501250,A Mishra,0,7.6
501256,A Mishra,21,6.6
548314,A Mishra,0,6.6
548321,A Mishra,7,7.6
548335,A Mishra,1,5.8
548346,A Mishra,1,6.0
548359,A Mishra,8,3.4
598010,A Mishra,17,6.8
598013,A Mishra,1,5.6
598018,A Mishra,32,11.8
598030,A Mishra,15,14.6
598032,A Mishra,26,18.2
598051,A Mishra,6,16.0
729295,A Mishra,4,16.6
733989,A Mishra,4,11.0
829707,A Mishra,5,9.0
829739,A Mishra,1,4.0
829757,A Mishra,2,3.2
829777,A Mishra,1,2.6
980903,A Mishra,3,2.4
980993,A Mishra,1,1.6
1082595,A Mishra,8,3.0
1082626,A Mishra,6,3.8
1082635,A Mishra,11,5.8
1082640,A Mishra,8,6.8
1082642,A Mishra,15,9.6
1082646,A Mishra,7,9.4
1136582,A Mishra,1,8.4
1178409,A Mishra,11,8.4
1178425,A Mishra,8,8.4
1181766,A Mishra,2,5.8
1181767,A Mishra,6,5.6
1359517,A Mishra,19,9.2
419140,A Mithun,5,0.0
501227,A Mithun,0,0.0
501244,A Mithun,6,0.0
501260,A Mithun,10,0.0
501271,A Mithun,14,7.0
598057,A Mithun,2,6.4
336033,A Mukund,0,0.0
598036,A Mukund,20,0.0
335989,A Nehra,1,0.0
335991,A Nehra,3,0.0
336028,A Nehra,1,0.0
392226,A Nehra,1,0.0
419149,A Nehra,1,1.4
419160,A Nehra,23,5.8
548319,A Nehra,4,6.0
548365,A Nehra,9,7.6
597998,A Nehra,0,7.4
598006,A Nehra,1,7.4
